index,Date,Likes,Retweets,Compound,Negative,Neutral,Positive,S&P500 Open,S&P500 Close,DJ Open,DJ Close,NAS Open,NAS Close,S&P500 Same-Day Change,S&P500 1-Day Change,S&P500 2-Day Change,DJ Same-Day Change,DJ 1-Day Change,DJ 2-Day Change,NAS Same-Day Change,NAS 1-Day Change,NAS 2-Day Change
51,2017-08-09,102458,24117,0.6901,0.0,0.794,0.206,2465.3501,2474.0200,22022.3398,22048.6992,6322.9199,6352.3301,-1.84,1.87,2.21,-1.52,1.6,1.85,-2.29,5.27,5.43
53,2017-08-11,217199,66637,0.6038,0.0,0.7675000000000001,0.2325,2441.0400,2441.3201,21883.3203,21858.3203,6222.1802,6256.5601,-1.26,1.27,0.77,-0.46,0.48,0.23,-2.88,4.41,3.51
57,2017-08-18,83985,15173,0.6486,0.0,0.798,0.202,2427.6399,2425.5500,21724.8809,21674.5098,6222.4600,6216.5298,-0.65,0.65,2.27,-0.62,0.67,1.09,0.8,0.98,6.73
60,2017-08-30,79961,13364,-0.7567,0.302,0.698,0.0,2446.0601,2457.5901,21859.7598,21892.4297,6308.6802,6368.3101,1.38,-1.36,-2.45,2.34,-2.26,-4.21,-1.62,2.72,2.53
61,2017-08-31,0,9748,0.6696,0.0,0.8,0.2,2462.6499,2471.6499,21936.0098,21948.0996,6385.7998,6428.6602,1.11,-1.1,-1.06,2.01,-1.99,-2.49,-1.27,-0.19,-1.49
69,2017-09-14,153530,34352,0.6973,0.0,0.7829999999999999,0.21699999999999997,2494.5601,2495.6201,22144.9609,22203.4805,6439.4600,6429.0801,0.03,-0.03,-3.26,0.53,-0.46,-1.99,-0.76,0.81,-6.55
70,2017-09-15,208334,49099,-0.6288,0.236,0.6619999999999999,0.1025,2495.6699,2500.2300,22252.4395,22268.3398,6426.1602,6448.4702,3.34,-3.23,-0.7,1.6,-1.55,2.17,8.58,-7.3,-4.47
76,2017-09-25,81004,13328,-0.5807,0.203,0.731,0.066,2499.3899,2496.6599,22320.4707,22296.0898,6403.1099,6370.5898,0.14,-0.14,-0.68,-0.55,0.56,-0.05,-0.8,1.47,-0.47
79,2017-09-28,149069,33503,0.6875,0.14500000000000002,0.581,0.274,2503.4099,2510.0601,22306.8301,22381.1992,6437.9600,6453.4502,-0.02,0.02,1.54,0.39,-0.46,1.16,-3.92,2.91,5.87
80,2017-09-29,55480,10749,-0.5411,0.123,0.877,0.0,2509.9600,2519.3601,22358.4707,22405.0898,6461.2798,6495.9600,-1.49,1.52,-0.69,-1.58,1.63,-0.21,-2.04,2.87,-0.45
83,2017-10-05,151980,34647,-0.5386,0.243,0.647,0.11,2540.8601,2552.0701,22669.0801,22775.3906,6552.8701,6585.3599,-0.67,0.67,0.7,-0.36,0.36,-0.39,-2.89,1.67,2.34
88,2017-10-12,102167,21192,0.64785,0.0,0.7545,0.2455,2552.8799,2550.9299,22854.8496,22841.0098,6594.7598,6591.5098,-1.45,1.47,2.52,-1.08,1.1,2.58,-2.92,2.92,5.03
89,2017-10-13,66140,15600,0.8805,0.0,0.638,0.362,2555.6599,2553.1699,22876.4297,22871.7207,6613.2100,6605.7998,-1.02,1.03,1.3,-1.45,1.47,2.34,-1.79,2.05,1.53
98,2017-10-23,113634,23739,0.7177,0.072,0.691,0.237,2578.0801,2564.9800,23348.9492,23273.9609,6641.5698,6586.8301,0.69,-0.68,0.3,-0.5,0.45,0.01,1.27,-2.07,1.09
102,2017-10-27,105485,19952,0.7011000000000001,0.08299999999999999,0.6535,0.2635,2570.2600,2581.0701,23419.1602,23434.1895,6635.0298,6701.2598,1.0,-0.99,-0.52,0.99,-1.0,0.0,1.92,-2.44,-2.95
109,2017-11-06,75952,19142,-0.5255,0.139,0.861,0.0,2587.4700,2591.1299,23533.9609,23548.4199,6763.2998,6786.4399,0.52,-0.52,-0.43,0.13,-0.05,-0.58,1.92,-1.32,-1.44
116,2017-11-13,185354,35848,0.5770666666666667,0.07266666666666666,0.7156666666666668,0.21166666666666667,2576.5300,2584.8401,23367.4707,23439.6992,6727.3901,6757.6001,-0.31,0.31,0.79,-0.55,0.53,1.52,-0.45,-0.25,-0.3
125,2017-11-27,165487,31393,0.7419,0.076,0.6365000000000001,0.2875,2602.6599,2601.4199,23552.8594,23580.7793,6889.9102,6878.5200,0.96,-0.95,-1.0,0.25,-0.18,-0.93,5.77,-2.7,-1.98
128,2017-11-30,163155,32660,0.50015,0.0425,0.6685,0.289,2633.9299,2647.5801,24013.8008,24272.3496,6852.7998,6873.9702,0.77,-0.76,1.31,0.07,-0.1,0.61,2.02,-2.76,2.0
133,2017-12-08,159035,38725,-0.57285,0.237,0.7225,0.041,2646.2100,2651.5000,24263.2598,24329.1602,6859.9502,6840.0801,-1.03,1.04,0.12,-1.01,1.03,-0.35,-1.43,2.2,-0.95
160,2018-01-10,87347,21925,0.5983,0.066,0.743,0.192,2745.5500,2748.2300,25348.1309,25369.1309,7129.8301,7153.5698,0.22,-0.21,0.46,0.49,-0.6,0.57,2.49,-1.25,-1.83
166,2018-01-17,96622,23758,0.765,0.0,0.732,0.268,2784.9900,2802.5601,25910.7793,26115.6504,7257.7700,7298.2798,0.56,-0.55,-0.63,0.24,-0.25,-0.87,1.15,-1.26,0.14
170,2018-01-25,149098,27224,0.6249,0.0,0.843,0.157,2846.2400,2839.2500,26313.0605,26392.7891,7457.9502,7411.1602,0.93,-0.92,-0.25,0.74,-0.71,0.02,1.93,-2.16,-0.46
173,2018-02-02,105514,26492,0.6124,0.087,0.669,0.244,2808.9199,2762.1299,26061.7891,25520.9609,7347.5898,7240.9502,3.22,-3.12,-2.88,2.18,-2.16,-1.93,5.26,-7.35,-7.35
176,2018-02-07,110053,21180,0.7003,0.0,0.784,0.216,2690.9500,2681.6599,24892.8691,24893.3496,7086.2002,7051.9800,1.83,-1.8,0.12,1.1,-1.07,0.07,3.66,-3.24,2.86
182,2018-02-23,115108,24212,0.53715,0.0,0.7895,0.2105,2715.8000,2747.3000,25050.5098,25309.9902,7261.3501,7337.3901,-0.84,0.85,1.45,-0.67,0.63,0.39,-3.23,2.35,6.47
184,2018-02-27,106526,24996,0.8441000000000001,0.0405,0.5525,0.40700000000000003,2780.4500,2744.2800,25735.7793,25410.0293,7416.1699,7330.3501,1.64,-1.61,-1.22,1.62,-1.56,-0.92,3.32,-2.53,-2.87
202,2018-03-28,268218,61258,0.5676,0.0,0.8073333333333333,0.19266666666666665,2611.3000,2605.0000,23883.0801,23848.4199,6978.2998,6949.2300,-0.49,0.49,1.25,-1.16,1.19,1.7,3.56,-0.49,1.31
211,2018-04-10,105066,21991,0.8122,0.0,0.684,0.316,2638.4099,2656.8701,24198.9492,24408.0000,7060.9902,7094.2998,0.01,-0.01,-1.76,0.05,0.06,-2.21,-0.47,-0.45,-1.98
212,2018-04-11,170656,64648,-0.5423,0.218,0.691,0.091,2643.8899,2642.1899,24274.1895,24189.4492,7055.0000,7069.0298,1.78,-1.75,-2.19,2.16,-2.28,-1.91,1.36,-1.54,-4.63
217,2018-04-19,0,8372,0.7269,0.0,0.679,0.321,2701.1599,2693.1299,24711.3008,24664.8906,7258.6099,7238.0601,2.43,-2.37,-0.61,3.3,-3.16,-1.82,-3.69,2.71,7.08
221,2018-04-24,59426,14641,-0.8388,0.359,0.641,0.0,2680.8000,2634.5601,24579.9395,24024.1309,7160.7700,7007.3501,-0.47,0.47,-2.03,-0.8,0.82,-0.73,-0.23,-0.03,-3.0
224,2018-04-30,91495,19528,-0.6486,0.238,0.69,0.073,2682.5100,2648.0500,24410.4102,24163.1504,7133.9502,7066.2700,-1.27,1.29,-0.68,-1.82,1.93,-0.05,-0.62,0.2,-3.07
226,2018-05-03,77954,15679,0.7345,0.0,0.754,0.246,2628.0801,2629.7300,23836.2305,23930.1504,7065.0298,7088.1499,0.93,-0.93,-2.26,0.1,-0.09,-0.98,1.08,-1.83,-4.31
256,2018-06-15,99217,21605,0.836,0.0,0.717,0.283,2777.7800,2779.6599,25116.7109,25090.4805,7725.0298,7746.3799,-0.68,0.69,-0.38,-1.35,1.4,0.19,1.75,-1.61,-4.2
258,2018-06-20,0,16437,0.743,0.045,0.74,0.215,2769.7300,2767.3201,24771.1699,24657.8008,7764.1499,7781.5098,-0.44,0.44,1.77,0.39,-0.35,0.18,-2.55,1.85,5.19
259,2018-06-21,157678,35179,0.6406,0.027,0.7363333333333334,0.23633333333333337,2769.2800,2749.7600,24639.2109,24461.6992,7800.2998,7712.9502,-1.31,1.32,0.2,-0.5,0.53,0.1,-2.73,3.28,-0.98
260,2018-06-22,63768,13240,0.6696,0.0,0.621,0.379,2760.7900,2754.8799,24526.9707,24580.8906,7739.6899,7692.8198,1.12,-1.11,-3.72,0.34,-0.43,-2.76,1.19,-4.13,-7.96
263,2018-06-25,62609,28531,0.88725,0.0605,0.5375,0.402,2742.9399,2717.0701,24463.7305,24252.8008,7631.1201,7532.0098,2.71,-2.64,-2.73,2.45,-2.34,-3.47,4.62,-4.0,-0.13
266,2018-06-29,76009,24318,0.51545,0.0775,0.7175,0.20500000000000002,2727.1299,2718.3701,24323.9297,24271.4102,7544.1299,7510.2998,-0.95,0.0,0.0,-1.25,0.0,0.0,-1.31,0.0,0.0
