Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,690.280029,694.030029,680.280029,686.729980,686.729980,0
2015-01-05,683.570007,684.840027,673.429993,673.590027,673.590027,0
2015-01-06,675.119995,675.140015,656.369995,658.830017,658.830017,0
2015-01-07,660.419983,668.219971,658.750000,665.270020,665.270020,0
2015-01-08,671.809998,686.200012,671.809998,684.650024,684.650024,0
2015-01-09,685.940002,688.229980,676.820007,685.520020,685.520020,0
2015-01-12,680.919983,681.400024,668.500000,671.820007,671.820007,0
2015-01-13,677.950012,685.289978,661.909973,665.580017,665.580017,0
2015-01-14,658.830017,668.330017,654.869995,661.650024,661.650024,0
2015-01-15,667.260010,670.429993,655.859985,656.510010,656.510010,0
2015-01-16,654.419983,664.619995,651.580017,663.859985,663.859985,0
2015-01-20,666.739990,673.099976,662.190002,670.570007,670.570007,0
2015-01-21,667.539978,681.200012,666.739990,678.159973,678.159973,0
2015-01-22,676.500000,682.909973,664.919983,682.479980,682.479980,0
2015-01-23,679.179993,683.929993,677.059998,680.539978,680.539978,0
2015-01-26,677.559998,683.500000,674.210022,682.390015,682.390015,0
2015-01-27,672.190002,676.210022,665.489990,669.789978,669.789978,0
2015-01-28,677.030029,684.159973,665.820007,666.070007,666.070007,0
2015-01-29,662.809998,669.020020,654.400024,666.630005,666.630005,0
2015-01-30,661.320007,667.989990,652.450012,653.140015,653.140015,0
2015-02-02,661.320007,667.989990,652.450012,653.140015,653.140015,0
2015-02-03,657.750000,667.130005,656.820007,666.929993,666.929993,0
2015-02-04,664.429993,673.789978,664.299988,669.150024,669.150024,0
2015-02-05,671.770020,675.780029,668.140015,675.690002,675.690002,0
2015-02-06,676.039978,682.020020,670.020020,671.840027,671.840027,0
2015-02-09,669.510010,670.059998,662.950012,664.539978,664.539978,0
2015-02-10,672.239990,687.320007,671.140015,687.030029,687.030029,0
2015-02-11,687.219971,691.609985,684.349976,689.250000,689.250000,0
2015-02-12,692.419983,700.190002,691.710022,700.190002,700.190002,0
2015-02-13,701.640015,706.940002,698.669983,705.080017,705.080017,0
2015-02-17,703.919983,707.750000,702.369995,707.140015,707.140015,0
2015-02-18,704.599976,707.020020,702.239990,705.159973,705.159973,0
2015-02-19,704.159973,708.859985,702.760010,706.960022,706.960022,0
2015-02-20,704.640015,711.510010,702.940002,711.250000,711.250000,0
2015-02-23,710.400024,710.469971,704.159973,706.700012,706.700012,0
2015-02-24,704.820007,716.289978,702.059998,716.119995,716.119995,0
2015-02-25,714.559998,716.059998,710.010010,711.989990,711.989990,0
2015-02-26,716.080017,718.809998,712.960022,716.669983,716.669983,0
2015-02-27,716.780029,718.599976,712.710022,714.650024,714.650024,0
2015-03-02,720.919983,734.530029,720.849976,734.510010,734.510010,0
2015-03-03,729.809998,730.690002,719.650024,720.260010,720.260010,0
2015-03-04,717.979980,719.919983,711.460022,719.539978,719.539978,0
2015-03-05,722.530029,724.280029,716.979980,720.250000,720.250000,0
2015-03-06,717.960022,719.200012,710.630005,712.419983,712.419983,0
2015-03-09,713.320007,716.520020,711.299988,715.030029,715.030029,0
2015-03-10,709.909973,711.780029,701.280029,701.299988,701.299988,0
2015-03-11,705.039978,710.460022,702.849976,703.159973,703.159973,0
2015-03-12,695.869995,703.059998,695.830017,702.770020,702.770020,0
2015-03-13,703.309998,708.989990,700.099976,707.789978,707.789978,0
2015-03-16,711.869995,718.909973,711.640015,718.530029,718.530029,0
2015-03-17,712.919983,714.440002,709.080017,713.190002,713.190002,0
2015-03-18,711.770020,721.820007,703.659973,718.479980,718.479980,0
2015-03-19,717.849976,721.969971,716.570007,720.200012,720.200012,0
2015-03-20,725.919983,732.729980,724.229980,730.909973,730.909973,0
2015-03-23,730.309998,731.299988,723.950012,723.960022,723.960022,0
2015-03-24,723.830017,725.250000,717.659973,717.780029,717.780029,0
2015-03-25,717.380005,717.380005,683.979980,684.729980,684.729980,0
2015-03-26,665.989990,679.770020,660.580017,675.239990,675.239990,0
2015-03-27,676.669983,697.109985,673.960022,694.320007,694.320007,0
2015-03-30,699.330017,705.270020,694.979980,703.739990,703.739990,0
2015-03-31,699.679993,702.479980,694.570007,695.479980,695.479980,0
2015-04-01,693.169983,694.630005,685.570007,691.190002,691.190002,0
2015-04-02,693.020020,696.270020,688.809998,689.169983,689.169983,0
2015-04-06,681.090027,694.090027,679.330017,692.679993,692.679993,0
2015-04-07,692.140015,698.750000,691.630005,692.940002,692.940002,0
2015-04-08,692.119995,699.150024,691.380005,697.450012,697.450012,0
2015-04-09,694.549988,706.799988,694.390015,706.179993,706.179993,0
2015-04-10,706.419983,709.109985,705.380005,709.049988,709.049988,0
2015-04-13,710.570007,712.659973,703.799988,704.520020,704.520020,0
2015-04-14,704.219971,704.820007,695.080017,697.849976,697.849976,0
2015-04-15,702.229980,711.330017,702.140015,709.320007,709.320007,0
2015-04-16,703.719971,707.270020,702.780029,706.080017,706.080017,0
2015-04-17,699.570007,700.229980,692.719971,696.090027,696.090027,0
2015-04-20,699.190002,704.809998,699.179993,702.289978,702.289978,0
2015-04-21,710.559998,711.690002,704.239990,707.119995,707.119995,0
2015-04-22,712.200012,717.150024,705.929993,716.820007,716.820007,0
2015-04-23,702.130005,708.510010,700.619995,705.460022,705.460022,0
2015-04-24,704.239990,704.239990,689.570007,693.729980,693.729980,0
2015-04-27,694.780029,703.159973,693.780029,696.109985,696.109985,0
2015-04-28,696.309998,697.549988,686.530029,696.239990,696.239990,0
2015-04-29,690.570007,694.590027,685.109985,692.190002,692.190002,0
2015-04-30,690.510010,693.679993,682.140015,686.289978,686.289978,0
2015-05-01,692.070007,707.080017,691.919983,705.500000,705.500000,0
2015-05-04,706.489990,708.599976,701.940002,704.030029,704.030029,0
2015-05-05,699.260010,699.940002,687.739990,688.400024,688.400024,0
2015-05-06,690.900024,693.710022,682.690002,687.450012,687.450012,0
2015-05-07,690.309998,696.270020,690.229980,695.200012,695.200012,0
2015-05-08,698.989990,704.890015,698.520020,702.130005,702.130005,0
2015-05-11,700.989990,704.869995,699.390015,702.309998,702.309998,0
2015-05-12,699.200012,700.169983,692.760010,696.179993,696.179993,0
2015-05-13,698.400024,705.099976,698.150024,700.130005,700.130005,0
2015-05-14,705.200012,711.070007,702.140015,708.320007,708.320007,0
2015-05-15,710.039978,712.479980,706.250000,709.520020,709.520020,0
2015-05-18,710.849976,716.940002,708.630005,716.539978,716.539978,0
2015-05-19,718.179993,721.229980,711.020020,713.390015,713.390015,0
2015-05-20,714.229980,720.219971,712.010010,714.479980,714.479980,0
2015-05-21,714.260010,719.739990,710.919983,718.440002,718.440002,0
2015-05-22,718.200012,722.809998,718.200012,720.200012,720.200012,0
2015-05-26,718.630005,719.539978,711.390015,714.750000,714.750000,0
2015-05-27,716.960022,744.770020,716.340027,742.349976,742.349976,0
2015-05-28,743.869995,746.950012,738.330017,743.270020,743.270020,0
2015-05-29,746.049988,749.229980,742.549988,745.409973,745.409973,0
2015-06-01,748.840027,751.210022,742.030029,746.080017,746.080017,0
2015-06-02,743.409973,743.409973,736.859985,737.280029,737.280029,0
2015-06-03,741.659973,742.020020,732.260010,732.700012,732.700012,0
2015-06-04,729.330017,732.119995,724.059998,725.809998,725.809998,0
2015-06-05,724.890015,728.119995,719.510010,726.289978,726.289978,0
2015-06-08,725.960022,726.130005,710.700012,712.369995,712.369995,0
2015-06-09,712.140015,713.840027,704.830017,711.599976,711.599976,0
2015-06-10,715.359985,723.299988,714.880005,720.940002,720.940002,0
2015-06-11,722.030029,724.340027,719.880005,720.530029,720.530029,0
2015-06-12,716.169983,718.130005,713.109985,714.130005,714.130005,0
2015-06-15,706.750000,713.169983,703.130005,712.630005,712.630005,0
2015-06-16,710.979980,716.419983,709.570007,715.070007,715.070007,0
2015-06-17,716.080017,717.979980,712.059998,715.190002,715.190002,0
2015-06-18,717.640015,728.570007,717.570007,725.599976,725.599976,0
2015-06-19,727.539978,728.239990,719.229980,723.369995,723.369995,0
2015-06-22,728.080017,729.590027,724.130005,728.219971,728.219971,0
2015-06-23,730.090027,730.570007,721.760010,723.880005,723.880005,0
2015-06-24,722.799988,724.750000,716.409973,716.489990,716.489990,0
2015-06-25,718.950012,720.780029,714.090027,715.830017,715.830017,0
2015-06-26,708.140015,708.820007,695.369995,698.359985,698.359985,0
2015-06-29,684.979980,692.989990,677.500000,678.070007,678.070007,0
2015-06-30,683.590027,685.719971,677.260010,680.539978,680.539978,0
2015-07-01,687.619995,690.869995,680.539978,682.130005,682.130005,0
2015-07-02,683.580017,687.239990,682.169983,685.510010,685.510010,0
2015-07-06,678.179993,685.280029,672.429993,675.109985,675.109985,0
2015-07-07,673.489990,674.650024,652.880005,672.909973,672.909973,0
2015-07-08,662.840027,663.440002,653.440002,655.250000,655.250000,0
2015-07-09,665.799988,667.809998,646.530029,646.640015,646.640015,0
2015-07-10,654.250000,661.130005,653.659973,658.880005,658.880005,0
2015-07-13,664.969971,665.440002,659.140015,663.969971,663.969971,0
2015-07-14,667.929993,672.669983,666.719971,671.159973,671.159973,0
2015-07-15,670.460022,672.159973,664.039978,667.020020,667.020020,0
2015-07-16,670.559998,670.580017,662.299988,668.609985,668.609985,0
2015-07-17,666.900024,667.669983,661.690002,667.049988,667.049988,0
2015-07-20,669.690002,670.750000,662.140015,662.500000,662.500000,0
2015-07-21,662.690002,668.440002,661.340027,662.859985,662.859985,0
2015-07-22,642.239990,647.780029,638.950012,646.130005,646.130005,0
2015-07-23,650.950012,663.669983,650.719971,655.510010,655.510010,0
2015-07-24,658.659973,658.929993,641.780029,642.479980,642.479980,0
2015-07-27,637.859985,642.299988,630.900024,637.880005,637.880005,0
2015-07-28,640.780029,655.109985,636.000000,650.900024,650.900024,0
2015-07-29,648.950012,652.909973,644.609985,651.750000,651.750000,0
2015-07-30,648.840027,656.239990,646.359985,654.150024,654.150024,0
2015-07-31,654.659973,654.659973,645.359985,646.289978,646.289978,0
2015-08-03,645.849976,647.059998,640.950012,644.349976,644.349976,0
2015-08-04,641.729980,643.419983,633.049988,637.179993,637.179993,0
2015-08-05,639.950012,649.219971,639.719971,644.619995,644.619995,0
2015-08-06,644.719971,644.820007,628.289978,633.130005,633.130005,0
2015-08-07,631.640015,637.539978,630.219971,636.820007,636.820007,0
2015-08-10,642.190002,653.690002,641.859985,652.650024,652.650024,0
2015-08-11,644.710022,646.010010,635.169983,637.849976,637.849976,0
2015-08-12,628.369995,644.450012,625.229980,641.520020,641.520020,0
2015-08-13,641.289978,643.599976,634.750000,634.869995,634.869995,0
2015-08-14,633.270020,634.559998,627.169983,631.039978,631.039978,0
2015-08-17,627.080017,637.380005,625.299988,637.250000,637.250000,0
2015-08-18,634.869995,635.210022,622.940002,624.010010,624.010010,0
2015-08-19,623.760010,625.570007,614.080017,618.320007,618.320007,0
2015-08-20,610.599976,612.000000,594.770020,594.780029,594.780029,0
2015-08-21,587.799988,596.320007,578.580017,578.590027,578.590027,0
2015-08-24,545.539978,590.950012,543.030029,566.580017,566.580017,0
2015-08-25,583.700012,588.099976,559.590027,559.590027,559.590027,0
2015-08-26,575.130005,588.500000,566.299988,587.820007,587.820007,0
2015-08-27,596.979980,610.510010,596.950012,609.760010,609.760010,0
2015-08-28,607.219971,614.530029,607.020020,613.909973,613.909973,0
