Tweet,Date,Retweets,Likes
"....when i had harley-davidson officials over to the white house, i chided them about tariffs in other countries, l… https://t.co/phsv1bsmya",Tue Jun 26 11:37:51 +0000 2018,12585,58373
....we are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5su0778dd,Tue Jun 26 11:25:01 +0000 2018,14629,66273
early this year harley-davidson said they would move much of their plant operations in kansas city to thailand. tha… https://t.co/udewoh3mwj,Tue Jun 26 11:16:36 +0000 2018,14994,66151
thank you south carolina. now let’s get out tomorrow and vote for @henrymcmaster! https://t.co/5xlz0wfmfu,Tue Jun 26 01:35:03 +0000 2018,13643,57001
just landed in south carolina - will be at the mcmaster rally shortly! #maga,Mon Jun 25 23:44:36 +0000 2018,8068,53264
the hearing of peter strzok and the other hating frauds at the fbi &amp; doj should be shown to the public on live tele… https://t.co/tflq7s7kmy,Mon Jun 25 23:30:34 +0000 2018,39458,135269
"why is senator mark warner (d-va), perhaps in a near drunken state, claiming he has information that only he and bo… https://t.co/oumpe3btvx",Mon Jun 25 23:22:12 +0000 2018,25623,92517
"rt @whitehouse: today, @realdonaldtrump and @flotus welcomed @kingabdullahii and @queenrania of the hashemite kingdom of jordan to the whit…",Mon Jun 25 23:11:24 +0000 2018,9659,0
“director david lynch: trump could go down as one of the greatest presidents” https://t.co/acgniznh6e,Mon Jun 25 23:06:56 +0000 2018,15272,62603
"surprised that harley-davidson, of all companies, would be the first to wave the white flag. i fought hard for them… https://t.co/ctqiqsyfbk",Mon Jun 25 21:28:06 +0000 2018,17856,76171
"congresswoman maxine waters, an extraordinarily low iq person, has become, together with nancy pelosi, the face of… https://t.co/izvaew0qob",Mon Jun 25 17:11:17 +0000 2018,42688,147179
rt @erictrump: record high economic optimism: 51% of people think the the economy is good or excellent - this is the highest number @cnbc h…,Mon Jun 25 16:58:59 +0000 2018,13998,0
"rt @trumpgolf: congratulations to our dear friend and @trumpcharlotte member, @scottmccarron, on his incredible win at the @amfamchamp this…",Mon Jun 25 16:58:53 +0000 2018,3777,0
rt @marcorubio: trump haters still haven’t realized how much they help him with their condescension of those who either voted for him or do…,Mon Jun 25 14:39:20 +0000 2018,19622,0
"will be heading to one of my favorite places, south carolina, to fight for one of my original “fighters,” governor… https://t.co/wumwqiimjq",Mon Jun 25 14:36:39 +0000 2018,15220,73341
"....if this is done, illegal immigration will be stopped in it’s tracks - and at very little, by comparison, cost.… https://t.co/hdii4vkunc",Mon Jun 25 12:54:25 +0000 2018,22686,96332
"hiring manythousands of judges, and going through a long and complicated legal process, is not the way to go - will… https://t.co/try3ecjsaj",Mon Jun 25 12:43:00 +0000 2018,22684,93875
such a difference in the media coverage of the same immigration policies between the obama administration and ours.… https://t.co/siv7btegsk,Mon Jun 25 12:36:29 +0000 2018,27264,106870
"i have tried to stay uninvolved with the department of justice and fbi (although i do not legally have to), because… https://t.co/rbebc0ghdb",Mon Jun 25 12:02:21 +0000 2018,30674,117220
"the red hen restaurant should focus more on cleaning its filthy canopies, doors and windows (badly needs a paint jo… https://t.co/cobp1kkdlk",Mon Jun 25 11:41:25 +0000 2018,36656,141630
former attorney general michael mukasey said that president trump is probably correct that there was surveillance o… https://t.co/o5dn6dkrer,Mon Jun 25 11:28:48 +0000 2018,18939,74469
".@repclayhiggins has been a great help to me on cutting taxes, creating great new healthcare programs at low cost,… https://t.co/8y4vafvzk3",Mon Jun 25 01:08:19 +0000 2018,14591,62752
"house republicans could easily pass a bill on strong border security but remember, it still has to pass in the sena… https://t.co/1tjeurjyv5",Mon Jun 25 00:08:51 +0000 2018,29786,113093
.@jimmyfallon is now whimpering to all that he did the famous “hair show” with me (where he seriously messed up my… https://t.co/o7qrzxhewv,Mon Jun 25 00:01:05 +0000 2018,20325,96447
the united states is insisting that all countries that have placed artificial trade barriers and tariffs on goods g… https://t.co/5i0yzh1xsk,Sun Jun 24 20:12:25 +0000 2018,28307,114435
"....our immigration policy, laughed at all over the world, is very unfair to all of those people who have gone thro… https://t.co/nnqupbrhlp",Sun Jun 24 15:08:33 +0000 2018,31776,128327
"we cannot allow all of these people to invade our country. when somebody comes in, we must immediately, with no jud… https://t.co/x8gwd9va5p",Sun Jun 24 15:02:02 +0000 2018,31647,122798
"democrats, fix the laws. don’t resist. we are doing a far better job than bush and obama, but we need strength and… https://t.co/0bxgkrg5og",Sun Jun 24 13:12:50 +0000 2018,31702,129045
major wall street journal opinion piece today talking about the russian witch hunt and the disgrace that it is. so… https://t.co/adkg5dlfqo,Sun Jun 24 01:43:41 +0000 2018,25586,85297
america is open for business! https://t.co/zjdlhwjlxm,Sat Jun 23 22:06:58 +0000 2018,17048,76328
thank you @nvgop! #maga https://t.co/ogtr2j6pgg,Sat Jun 23 20:25:06 +0000 2018,9666,43021
"happy birthday to supreme court justice clarence thomas, a friend and great man! https://t.co/hlxyyktjcv",Sat Jun 23 17:12:03 +0000 2018,19402,94366
"it’s very sad that nancy pelosi and her sidekick, cryin’ chuck schumer, want to protect illegal immigrants far more… https://t.co/hidqancemr",Sat Jun 23 17:05:33 +0000 2018,38408,155351
"rt @huckabeeontbn: tonight: the president of the united states, @realdonaldtrump, sits down to discuss his thoughts about international rel…",Sat Jun 23 17:03:03 +0000 2018,11521,0
heading to nevada to talk trade and immigration with supporters. country’s economy is stronger than ever before wit… https://t.co/kxezed3ign,Sat Jun 23 16:57:48 +0000 2018,15582,80642
"my thoughts and prayers are with representative katie arrington of south carolina, including all of those involved… https://t.co/s2qgdvlasc",Sat Jun 23 14:53:30 +0000 2018,13842,60192
"...everyone how much he likes me, but he will only vote with nancy pelosi. keith is strong on borders and tough on… https://t.co/ytzoim3yai",Sat Jun 23 14:00:19 +0000 2018,8167,38138
".@vp pence is heading to pittsburgh, pennsylvania where we have both strongly endorsed one of the finest men around… https://t.co/fkxbnxvwze",Sat Jun 23 14:00:16 +0000 2018,10245,44808
"drudge report  “obama kept them in cages, wrapped them in foil” we do a much better job while at the same time main… https://t.co/niwuf6t2rg",Sat Jun 23 12:52:57 +0000 2018,32474,115478
“disability applications plunge as economy strengthens”  failing new york times,Sat Jun 23 12:42:45 +0000 2018,13615,64255
the national association of manufacturers just announced that 95.1% of manufacturers “have a positive outlook for t… https://t.co/xhx3fdlaxt,Sat Jun 23 12:38:05 +0000 2018,19222,82287
the russian witch hunt is rigged!,Sat Jun 23 11:36:35 +0000 2018,18170,87092
".@foxnews  poll numbers plummet on the democrat inspired and paid for russian witch hunt. with all of the bias, lyi… https://t.co/42rel4ucsf",Sat Jun 23 11:33:01 +0000 2018,21894,87232
"rt @realdonaldtrump: congressman ron desantis, a top student at yale and harvard law school, is running for governor of the great state of…",Sat Jun 23 11:22:24 +0000 2018,24828,0
rt @presssec: it’s shameful that dems and the media exploited this photo of a little girl to push their agenda. she was not separated from…,Sat Jun 23 11:21:35 +0000 2018,31280,0
rt @jessebwatters: will be 🔥@tpusa https://t.co/r06lyq9obd,Sat Jun 23 11:21:01 +0000 2018,4157,0
"rt @scavino45: 🚨happening now:
president trump delivers remarks on immigration with angel families: https://t.co/whgk1h7t7u https://t.co/rv…",Sat Jun 23 11:19:43 +0000 2018,4375,0
rt @realdonaldtrump: we are gathered today to hear directly from the american victims of illegal immigration. these are the american citize…,Sat Jun 23 11:19:25 +0000 2018,30509,0
"rt @realdonaldtrump: our first duty, and our highest loyalty, is to the citizens of the united states. we will not rest until our border is…",Sat Jun 23 11:19:05 +0000 2018,24930,0
rt @scavino45: requested by family members after their private meeting and visit to the oval office - which took place before public remark…,Sat Jun 23 11:16:55 +0000 2018,5911,0
rt @secpompeo: .@potus’ agenda is the most pro-business agenda from a president in history. it been a game-changer for the american economi…,Sat Jun 23 11:16:26 +0000 2018,5488,0
steel is coming back fast! u.s. steel is adding great capacity also. so are others. https://t.co/0pzwjg3vxn,Sat Jun 23 11:15:33 +0000 2018,12085,51597
rt @realdonaldtrump: we have to maintain strong borders or we will no longer have a country that we can be proud of – and if we show any we…,Sat Jun 23 01:55:00 +0000 2018,32912,0
"rt @realdonaldtrump: elect more republicans in  november and we will pass the finest, fairest and most comprehensive immigration bills anyw…",Sat Jun 23 01:53:36 +0000 2018,30337,0
based on the tariffs and trade barriers long placed on the u.s. &amp; its great companies and workers by the european u… https://t.co/dqb7ivikdo,Sat Jun 23 00:34:33 +0000 2018,19705,87395
"our first duty, and our highest loyalty, is to the citizens of the united states. we will not rest until our border… https://t.co/xq0o3yw8dv",Fri Jun 22 20:23:33 +0000 2018,24930,94907
we are gathered today to hear directly from the american victims of illegal immigration. these are the american cit… https://t.co/ih0at614jp,Fri Jun 22 19:40:20 +0000 2018,30509,89234
hope opec will increase output substantially. need to keep prices down!,Fri Jun 22 14:10:07 +0000 2018,13236,63821
we must maintain a strong southern border. we cannot allow our country to be overrun by illegal immigrants as the d… https://t.co/3ms9txu4cv,Fri Jun 22 13:43:06 +0000 2018,29185,109434
"80% of mexico’s exports come to the united states. they totally rely on us, which is fine with me. they do have, th… https://t.co/1cfu4ex7au",Fri Jun 22 13:30:54 +0000 2018,22860,92565
rt @erictrump: good job @flotus  🇺🇸🇺🇸🇺🇸 https://t.co/rcyjy0dlf9,Fri Jun 22 12:03:38 +0000 2018,12060,0
"congressman ron desantis, a top student at yale and harvard law school, is running for governor of the great state… https://t.co/xekaqrqh6r",Fri Jun 22 11:58:43 +0000 2018,24828,100517
congresswoman martha roby of alabama has been a consistent and reliable vote for our make america great again agend… https://t.co/s21c4ekqvc,Fri Jun 22 11:46:12 +0000 2018,13675,54766
governor henry mcmaster is a truly fine man who loves the people of south carolina. he was one of my very early sup… https://t.co/opoaxw9qbi,Fri Jun 22 11:31:29 +0000 2018,13111,57002
republicans should stop wasting their time on immigration until after we elect more senators and congressmen/women… https://t.co/4hz9ziinfr,Fri Jun 22 11:06:30 +0000 2018,24400,90987
"elect more republicans in  november and we will pass the finest, fairest and most comprehensive immigration bills a… https://t.co/zk72yoyino",Fri Jun 22 11:00:36 +0000 2018,30337,106783
"even if we get 100% republican votes in the senate, we need 10 democrat votes to get a much needed immigration bill… https://t.co/emvxkdpulv",Fri Jun 22 10:54:51 +0000 2018,20492,78201
"our great judge jeanine pirro is out with a new book, “liars, leakers and liberals, the case against the anti-trump… https://t.co/ketrpg2ijp",Fri Jun 22 10:41:35 +0000 2018,20279,89069
"rt @realdonaldtrump: don’t worry, the republicans, and your president, will fix it! https://t.co/xsbupzxbhj",Fri Jun 22 02:12:34 +0000 2018,72849,0
you cannot pass legislation on immigration whether it be for safety and security or any other reason including “hea… https://t.co/cxddzuwydy,Thu Jun 21 23:07:53 +0000 2018,23615,84747
